date,CCI
2018-01-02,-158.6731
2018-01-03,-95.297
2018-01-04,-24.9054
2018-01-05,-21.0623
2018-01-08,-83.3552
2018-01-09,117.1731
2018-01-10,102.2591
2018-01-11,29.0479
2018-01-12,43.1012
2018-01-16,103.7359
2018-01-17,166.6667
2018-01-18,97.1331
2018-01-19,79.2189
2018-01-22,136.3811
2018-01-23,145.7151
2018-01-24,108.9481
2018-01-25,75.354
2018-01-26,78.1658
2018-01-29,36.3464
2018-01-30,-120.9091
2018-01-31,111.3914
2018-02-01,60.7998
2018-02-02,-53.6923
2018-02-05,-166.6667
2018-02-06,-120.2604
2018-02-07,-51.4105
2018-02-08,-99.349
2018-02-09,-64.8126
2018-02-12,-7.1109
2018-02-13,6.3367
2018-02-14,131.4507
2018-02-15,114.8551
2018-02-16,68.5796
2018-02-20,-28.5042
2018-02-21,-131.0764
2018-02-22,-111.1111
2018-02-23,-84.7424
2018-02-26,71.083
2018-02-27,45.3595
2018-02-28,-75.579
2018-03-01,-136.3668
2018-03-02,-108.2045
2018-03-05,-28.404
2018-03-06,27.2635
2018-03-07,-14.005
2018-03-08,67.5465
2018-03-09,166.2205
2018-03-12,96.1049
2018-03-13,29.8852
2018-03-14,-94.2753
2018-03-15,-76.7572
2018-03-16,-58.1614
2018-03-19,-125.3894
2018-03-20,-14.6251
2018-03-21,-47.7955
2018-03-22,-166.6667
2018-03-23,-138.1896
2018-03-26,-67.7632
2018-03-27,-27.0608
2018-03-28,41.1635
2018-03-29,60.3644
2018-04-02,-166.6667
2018-04-03,-68.9398
2018-04-04,-30.7808
2018-04-05,44.4128
2018-04-06,-9.1515
2018-04-09,-47.7904
2018-04-10,19.6867
2018-04-11,-96.6683
2018-04-12,35.7381
2018-04-13,-56.4924
2018-04-16,109.7095
2018-04-17,125.8104
2018-04-18,55.1434
2018-04-19,102.3352
2018-04-20,94.752
2018-04-23,94.0969
2018-04-24,-65.8683
2018-04-25,54.972
2018-04-26,-63.109
2018-04-27,-37.4428
2018-04-30,-62.7263
2018-05-01,-152.1893
2018-05-02,-146.5282
2018-05-03,-132.5843
2018-05-04,-59.9852
2018-05-07,-9.7126
2018-05-08,43.1503
2018-05-09,121.84
2018-05-10,111.7851
2018-05-11,110.0534
2018-05-14,57.4866
2018-05-15,-31.7982
2018-05-16,-96.7433
2018-05-17,-73.3173
2018-05-18,-129.9772
2018-05-21,-64.206
2018-05-22,106.5116
2018-05-23,-34.6645
2018-05-24,-127.7142
2018-05-25,-59.8973
2018-05-29,-163.4485
2018-05-30,-41.2717
2018-05-31,-52.8585
2018-06-01,-37.4363
2018-06-04,46.6764
2018-06-05,-109.7197
2018-06-06,-75.968
2018-06-07,97.3224
2018-06-08,166.1221
2018-06-11,83.005
2018-06-12,31.368
2018-06-13,17.4135
2018-06-14,-166.6667
2018-06-15,-90.7776
2018-06-18,-116.5873
2018-06-19,-70.4399
2018-06-20,-121.6068
2018-06-21,-137.7813
2018-06-22,-75.815
2018-06-25,-67.6528
2018-06-26,-79.0772
2018-06-27,-24.1958
2018-06-28,124.4054
2018-06-29,124.6015
2018-07-02,56.0468
2018-07-03,92.0449
2018-07-05,88.5007
2018-07-06,147.045
2018-07-09,137.4004
2018-07-10,122.8007
2018-07-11,63.2089
2018-07-12,35.5862
2018-07-13,-15.1437
2018-07-16,70.2416
2018-07-17,109.5573
2018-07-18,132.35
2018-07-19,38.7343
2018-07-20,-80.46
2018-07-23,-9.147
2018-07-24,89.7289
2018-07-25,79.5723
2018-07-26,164.6939
2018-07-27,105.1893
2018-07-30,98.981
2018-07-31,82.6806
2018-08-01,40.6401
2018-08-02,-106.7843
2018-08-03,-55.1046
2018-08-06,12.6878
2018-08-07,32.3983
2018-08-08,-50.0854
2018-08-09,-126.0221
2018-08-10,-136.9297
2018-08-13,-102.8659
2018-08-14,-134.0195
2018-08-15,-94.9983
2018-08-16,0.9526
2018-08-17,20.6924
2018-08-20,88.5693
2018-08-21,93.9525
2018-08-22,-105.9075
2018-08-23,-107.4029
2018-08-24,37.6344
2018-08-27,130.995
2018-08-28,93.151
2018-08-29,52.7466
2018-08-30,-39.9459
2018-08-31,-115.931
2018-09-04,-5.2698
2018-09-05,117.3347
2018-09-06,95.4125
2018-09-07,37.6605
2018-09-10,-88.2643
2018-09-11,-101.3849
2018-09-12,-79.3854
2018-09-13,31.8878
2018-09-14,156.6346
2018-09-17,106.0198
2018-09-18,70.9837
2018-09-19,129.3981
2018-09-20,72.5529
2018-09-21,45.9282
2018-09-24,-97.1139
2018-09-25,-132.5914
2018-09-26,-110.5302
2018-09-27,-89.8062
2018-09-28,-77.379
2018-10-01,-53.8098
2018-10-02,-68.1321
2018-10-03,110.5094
2018-10-04,114.8098
2018-10-05,138.5765
2018-10-08,126.4903
2018-10-09,94.4695
2018-10-10,-97.8809
2018-10-11,-166.5638
2018-10-12,-104.5042
2018-10-15,-71.5008
2018-10-16,-69.9421
2018-10-17,26.5021
2018-10-18,134.1132
2018-10-19,86.9719
2018-10-22,37.7511
2018-10-23,-82.2025
2018-10-24,-151.9021
2018-10-25,-83.4033
