date,Aroon Up,Aroon Down
2018-01-02,75.0,0.0
2018-01-03,70.0,15.0
2018-01-04,65.0,10.0
2018-01-05,60.0,5.0
2018-01-08,55.0,0.0
2018-01-09,50.0,0.0
2018-01-10,45.0,0.0
2018-01-11,40.0,0.0
2018-01-12,35.0,80.0
2018-01-16,30.0,75.0
2018-01-17,25.0,100.0
2018-01-18,20.0,95.0
2018-01-19,15.0,90.0
2018-01-22,100.0,85.0
2018-01-23,95.0,80.0
2018-01-24,100.0,75.0
2018-01-25,100.0,70.0
2018-01-26,95.0,65.0
2018-01-29,100.0,60.0
2018-01-30,95.0,55.0
2018-01-31,90.0,50.0
2018-02-01,85.0,45.0
2018-02-02,80.0,40.0
2018-02-05,75.0,100.0
2018-02-06,70.0,95.0
2018-02-07,65.0,90.0
2018-02-08,60.0,85.0
2018-02-09,55.0,100.0
2018-02-12,50.0,95.0
2018-02-13,45.0,90.0
2018-02-14,40.0,85.0
2018-02-15,35.0,80.0
2018-02-16,30.0,75.0
2018-02-20,25.0,70.0
2018-02-21,20.0,65.0
2018-02-22,15.0,60.0
2018-02-23,10.0,55.0
2018-02-26,5.0,50.0
2018-02-27,0.0,45.0
2018-02-28,95.0,40.0
2018-03-01,90.0,35.0
2018-03-02,85.0,30.0
2018-03-05,80.0,25.0
2018-03-06,75.0,20.0
2018-03-07,70.0,15.0
2018-03-08,65.0,10.0
2018-03-09,60.0,5.0
2018-03-12,100.0,0.0
2018-03-13,95.0,0.0
2018-03-14,90.0,0.0
2018-03-15,85.0,55.0
2018-03-16,80.0,50.0
2018-03-19,75.0,45.0
2018-03-20,70.0,40.0
2018-03-21,65.0,35.0
2018-03-22,60.0,30.0
2018-03-23,55.0,100.0
2018-03-26,50.0,95.0
2018-03-27,45.0,90.0
2018-03-28,40.0,100.0
2018-03-29,35.0,95.0
2018-04-02,30.0,100.0
2018-04-03,25.0,95.0
2018-04-04,20.0,90.0
2018-04-05,15.0,85.0
2018-04-06,10.0,80.0
2018-04-09,5.0,75.0
2018-04-10,0.0,70.0
2018-04-11,0.0,65.0
2018-04-12,0.0,60.0
2018-04-13,5.0,55.0
2018-04-16,0.0,50.0
2018-04-17,0.0,45.0
2018-04-18,5.0,40.0
2018-04-19,0.0,35.0
2018-04-20,75.0,30.0
2018-04-23,70.0,25.0
2018-04-24,65.0,100.0
2018-04-25,60.0,100.0
2018-04-26,55.0,95.0
2018-04-27,50.0,90.0
2018-04-30,45.0,85.0
2018-05-01,40.0,100.0
2018-05-02,35.0,100.0
2018-05-03,30.0,100.0
2018-05-04,25.0,95.0
2018-05-07,20.0,90.0
2018-05-08,15.0,85.0
2018-05-09,10.0,80.0
2018-05-10,5.0,75.0
2018-05-11,0.0,70.0
2018-05-14,5.0,65.0
2018-05-15,0.0,60.0
2018-05-16,0.0,55.0
2018-05-17,0.0,50.0
2018-05-18,0.0,45.0
2018-05-21,0.0,40.0
2018-05-22,0.0,35.0
2018-05-23,65.0,30.0
2018-05-24,60.0,25.0
2018-05-25,55.0,20.0
2018-05-29,50.0,100.0
2018-05-30,45.0,95.0
2018-05-31,40.0,100.0
2018-06-01,35.0,95.0
2018-06-04,30.0,90.0
2018-06-05,25.0,85.0
2018-06-06,20.0,80.0
2018-06-07,15.0,75.0
2018-06-08,10.0,70.0
2018-06-11,5.0,65.0
2018-06-12,0.0,60.0
2018-06-13,0.0,55.0
2018-06-14,5.0,50.0
2018-06-15,0.0,45.0
2018-06-18,10.0,40.0
2018-06-19,5.0,35.0
2018-06-20,0.0,30.0
2018-06-21,70.0,25.0
2018-06-22,65.0,20.0
2018-06-25,60.0,100.0
2018-06-26,55.0,100.0
2018-06-27,50.0,95.0
2018-06-28,45.0,90.0
2018-06-29,40.0,85.0
2018-07-02,35.0,100.0
2018-07-03,30.0,95.0
2018-07-05,25.0,90.0
2018-07-06,20.0,85.0
2018-07-09,15.0,80.0
2018-07-10,10.0,75.0
2018-07-11,5.0,70.0
2018-07-12,0.0,65.0
2018-07-13,0.0,60.0
2018-07-16,0.0,55.0
2018-07-17,100.0,50.0
2018-07-18,100.0,45.0
2018-07-19,95.0,40.0
2018-07-20,90.0,35.0
2018-07-23,100.0,30.0
2018-07-24,100.0,25.0
2018-07-25,95.0,20.0
2018-07-26,100.0,15.0
2018-07-27,100.0,10.0
2018-07-30,100.0,5.0
2018-07-31,95.0,0.0
2018-08-01,90.0,5.0
2018-08-02,85.0,0.0
2018-08-03,80.0,0.0
2018-08-06,75.0,0.0
2018-08-07,70.0,15.0
2018-08-08,65.0,10.0
